"OBJIDsic","Region_new","Region_unique","island","UN_geospat"
1509,"Department of San AndrÇs, Providencia y Santa Catalina, Colombia","COL.SPS_Department of San AndrÇs, Providencia y Santa Catalina, Colombia_1509","ISL","Central_America_Carib"
1514,"Region de Santa Cruz, Bolivia","BOL.SCR_Region de Santa Cruz, Bolivia_1514","MAIN","South_America"
1515,"Region del Beni, Bolivia","BOL.BEN_Region del Beni, Bolivia_1515","MAIN","South_America"
1516,"Region de La Paz, Bolivia","BOL.LPA_Region de La Paz, Bolivia_1516","MAIN","South_America"
1517,"Region de Potos°, Bolivia","BOL.POT_Region de Potos°, Bolivia_1517","MAIN","South_America"
1518,"Region de Pando, Bolivia","BOL.PAN_Region de Pando, Bolivia_1518","MAIN","South_America"
1519,"Region de Cochabamba, Bolivia","BOL.COC_Region de Cochabamba, Bolivia_1519","MAIN","South_America"
1520,"Region de Oruro, Bolivia","BOL.ORU_Region de Oruro, Bolivia_1520","MAIN","South_America"
1521,"Region de Chuquisaca, Bolivia","BOL.CHU_Region de Chuquisaca, Bolivia_1521","MAIN","South_America"
1522,"Region de Tarija, Bolivia","BOL.TAR_Region de Tarija, Bolivia_1522","MAIN","South_America"
1523,"Ulyanovsk Oblast, Russian Federation","RUS.UL_Ulyanovsk Oblast, Russian Federation_1523","MAIN","Eastern_Europe"
1528,"New Zealand North Island","NZL.NOI_New Zealand North Island_1528","ISL","Oceania"
1529,"New Zealand South Island (without Stewart Island etc.)","NZL.SOI_New Zealand South Island (without Stewart Island etc.)_1529","ISL","Oceania"
1530,"New Zealand Stewart Island","NZL.STI_New Zealand Stewart Island_1530","ISL","Oceania"
1531,"Kuram","TJK.KUR_Kuram_1531","MAIN","Central_Asia"
1532,"Mogoltausian","TJK.MOG_Mogoltausian_1532","MAIN","Central_Asia"
1533,"Prisyrdarian","TJK.PRI_Prisyrdarian_1533","MAIN","Central_Asia"
1534,"Turkestanian A","TJK.TUA_Turkestanian A_1534","MAIN","Central_Asia"
1535,"Turkestanian B","TJK.TUB_Turkestanian B_1535","MAIN","Central_Asia"
1536,"Zeravshanian A","TJK.ZEA_Zeravshanian A_1536","MAIN","Central_Asia"
1537,"Zeravshanian B","TJK.ZEB_Zeravshanian B_1537","MAIN","Central_Asia"
1538,"Zeravshanian C","TJK.ZEC_Zeravshanian C_1538","MAIN","Central_Asia"
1539,"Hissaro-Darvasian A","TJK.HDA_Hissaro-Darvasian A_1539","MAIN","Central_Asia"
1540,"Hissaro-Darvasian B","TJK.HDB_Hissaro-Darvasian B_1540","MAIN","Central_Asia"
1541,"Hissaro-Darvasian C","TJK.HDC_Hissaro-Darvasian C_1541","MAIN","Central_Asia"
1542,"Hissaro-Darvasian D","TJK.HDD_Hissaro-Darvasian D_1542","MAIN","Central_Asia"
1543,"Hissaro-Darvasian E","TJK.HDE_Hissaro-Darvasian E_1543","MAIN","Central_Asia"
1544,"Hissaro-Darvasian F","TJK.HDF_Hissaro-Darvasian F_1544","MAIN","Central_Asia"
1545,"South Tajikistanian A","TJK.STA_South Tajikistanian A_1545","MAIN","Central_Asia"
1546,"South Tajikistanian B","TJK.STB_South Tajikistanian B_1546","MAIN","Central_Asia"
1547,"South Tajikistanian C","TJK.STC_South Tajikistanian C_1547","MAIN","Central_Asia"
1548,"South Tajikistanian D","TJK.STD_South Tajikistanian D_1548","MAIN","Central_Asia"
1549,"Eastern Tajikistanian A","TJK.ETA_Eastern Tajikistanian A_1549","MAIN","Central_Asia"
1550,"Eastern Tajikistanian B","TJK.ETB_Eastern Tajikistanian B_1550","MAIN","Central_Asia"
1551,"Eastern Tajikistanian C","TJK.ETC_Eastern Tajikistanian C_1551","MAIN","Southern_Asia"
1552,"Western Pamirian A","TJK.WPA_Western Pamirian A_1552","MAIN","Central_Asia"
1553,"Western Pamirian B","TJK.WPB_Western Pamirian B_1553","MAIN","Central_Asia"
