"OBJIDsic","name","LON","LAT","island","area","dem.sd","temp.mean","aridity.mean","pop.dens.2010.mean","gdp.pc.2011.mean","crop.area.prop","time.emp.GB","time.emp.ESP","time.emp.PRT","time.emp.NL"
1298,"Nebraska",-99.79240896,41.52782156,0,200294.63,305.15,9.4,0.39,9.31,49152,0.46,0,141,0,0
1299,"New Hampshire",-71.57908531,43.69056637,0,24204.88,220.69,6.2,1.17,56.85,54099.95,0.02,153,0,0,0
1300,"Navassa Island",-75.01361815,18.40323457,1,5.2,13.7,26.5,0.91,0,0,0,0,0,0,0
1301,"New Jersey",-74.66485125,40.19292621,0,19736.55,89.9,11.5,0.95,492.34,63126.61,0.13,112,0,0,55
1302,"New Mexico",-106.10771656,34.4230264,0,315901.71,455.22,11.9,0.18,6.65,41454.52,0.03,0,223,0,0
1303,"Nevada",-116.6520892,39.35822494,0,287053.04,421.24,9.7,0.13,9.41,45900.62,0.01,0,52,0,0
1304,"New York",-75.69648515,42.9964863,0,136995.43,199.61,7.3,1.07,135.77,60156.8,0.12,109,0,0,50
1305,"Ohio",-82.70740723,40.41573624,0,116526.84,56.68,10.3,0.85,105.19,44881.88,0.41,13,0,0,0
1306,"Oklahoma",-97.5097227,35.58437604,0,181539.54,232.52,15.4,0.51,21.38,44031.41,0.36,0,0,0,0
1307,"Oregon",-120.54103128,43.94020973,0,251394.85,531.53,8.2,0.68,16.05,45161.21,0.08,95,0,0,0
1308,"Pennsylvania",-77.84132464,40.89848408,0,119472.18,161.11,9.2,0.98,108.43,50589.06,0.17,94,0,0,27
1309,"Rhode Island",-71.55987025,41.68479785,0,2737.58,57.81,9.6,1.1,377.25,53685.98,0.04,140,0,0,0
983,"Tlaxcala",-98.13760021,19.41487433,0,4100.27,231.93,13.4,0.48,331.06,8404.54,0.47,0,297,0,0
