OBJIDsic,Region_new,Region_unique,MainIsl,colonizer,from,to,UN_geospat
679,Pernambuco,BRA_Pernambuco_679,MAIN,Portugal,1516,1822,South_America
680,Piaui,BRA_Piaui_680,MAIN,Portugal,1533,1822,South_America
681,Parana,BRA_Parana_681,MAIN,Portugal,1533,1822,South_America
683,Rio_Grande_do_Norte,BRA_Rio_Grande_do_Norte_683,MAIN,Portugal,1535,1822,South_America
683,Rio_Grande_do_Norte,BRA_Rio_Grande_do_Norte_683,MAIN,Netherlands,1630,1654,South_America
684,Rondonia,BRA_Rondonia_684,MAIN,Portugal,1533,1822,South_America
685,Roraima,BRA_Roraima_685,MAIN,Spain,1771,1775,South_America
686,Rio_Grande_do_Sul,BRA_Rio_Grande_do_Sul_686,MAIN,Spain,1635,1756,South_America
687,Santa_Catarina,BRA_Santa_Catarina_687,MAIN,Spain,1542,1675,South_America
688,Sergipe,BRA_Sergipe_688,MAIN,Portugal,1591,1641,South_America
688,Sergipe,BRA_Sergipe_688,MAIN,Netherlands,1641,1645,South_America
689,Sao_Paulo,BRA_Sao_Paulo_689,MAIN,Portugal,1532,1822,South_America
690,Tocatins,BRA_Tocatins_690,MAIN,Portugal,1730,1822,South_America
691,,BRB_Barbados_691,ISL,Portugal,1536,1625,Central_America_Carib
691,,BRB_Barbados_691,ISL,Great_Britain,1627,1966,Central_America_Carib
692,Botswana,BWA_Botswana_692,MAIN,Great_Britain,1887,1966,Mid_South_Africa
694,Alberta,CAN_Alberta_694,MAIN,Great_Britain,1670,1877,Northern_North_America
695,British_Columbia,CAN_British_Columbia_695,MAIN,Great_Britain,1791,1877,Northern_North_America
696,Labrador,CAN_Labrador_696,MAIN,Great_Britain,1763,1877,Northern_North_America
697,Manitoba,CAN_Manitoba_697,MAIN,Great_Britain,1668,1741,Northern_North_America
697,Manitoba,CAN_Manitoba_697,MAIN,Great_Britain,1763,1877,Northern_North_America
698,New_Brunswick,CAN_New_Brunswick_698,MAIN,Great_Britain,1763,1877,Northern_North_America
699,,CAN_Newfoundland_699,ISL,Great_Britain,1610,1933,Northern_North_America
700,Nova_Scotia,CAN_Nova_Scotia_700,MAIN,Portugal,1521,1605,Northern_North_America
700,Nova_Scotia,CAN_Nova_Scotia_700,MAIN,Great_Britain,1710,1877,Northern_North_America
703,Ontario,CAN_Ontario_703,MAIN,Great_Britain,1763,1877,Northern_North_America
704,,CAN_Prince_Edward_Island_704,ISL,Great_Britain,1745,1748,Northern_North_America
704,,CAN_Prince_Edward_Island_704,ISL,Great_Britain,1758,1877,Northern_North_America
705,Quebec,CAN_Quebec_705,MAIN,Great_Britain,1763,1877,Northern_North_America
708,Yukon,CAN_Yukon_708,MAIN,Great_Britain,1845,1877,Northern_North_America
709,,AUS_Cocos_North_Keeling_Island_709,ISL,Netherlands,1753,1826,Southeast_Asia
709,,AUS_Cocos_North_Keeling_Island_709,ISL,Great_Britain,1753,1942,Southeast_Asia
709,,AUS_Cocos_North_Keeling_Island_709,ISL,Great_Britain,1942,1945,Southeast_Asia
712,Aisen,CHL_Aisen_712,MAIN,Spain,1541,1817,South_America
714,Arica,CHL_Arica_714,MAIN,Spain,1541,1817,South_America
716,Arauco,CHL_Arauco_716,MAIN,Spain,1552,1817,South_America
717,Biobio,CHL_Biobio_717,MAIN,Spain,1552,1817,South_America
718,Cachapoal,CHL_Cachapoal_718,MAIN,Spain,1541,1817,South_America
720,Cardenal_Caro,CHL_Cardenal_Caro_720,MAIN,Spain,1544,1817,South_America
721,Cordillera,CHL_Cordillera_721,MAIN,Spain,1541,1817,South_America
722,Chiloe,CHL_Chiloe_722,MAIN,Spain,1567,1817,South_America
723,Choapa,CHL_Choapa_723,MAIN,Spain,1541,1817,South_America
724,Coihaique,CHL_Coihaique_724,MAIN,Spain,1541,1817,South_America
725,Colchagua,CHL_Colchagua_725,MAIN,Spain,1541,1817,South_America
